method,discription
https://www.w3schools.com/jsref/jsref_keys.asp,"Returns a Array Iteration Object, containing the keys of the original array"
,
https://www.w3schools.com/jsref/jsref_lastindexof_array.asp,"Search the array for an element, starting at the end, and returns its position"
https://www.w3schools.com/jsref/jsref_map.asp,Creates a new array with the result of calling a function for each array element
https://www.w3schools.com/jsref/jsref_pop.asp,"Removes the last element of an array, and returns that element"
https://www.w3schools.com/jsref/jsref_push.asp,"Adds new elements to the end of an array, and returns the new length"
https://www.w3schools.com/jsref/jsref_reduce.asp,Reduce the values of an array to a single value (going left-to-right)
https://www.w3schools.com/jsref/jsref_reduceright.asp,Reduce the values of an array to a single value (going right-to-left)
https://www.w3schools.com/jsref/jsref_reverse.asp,Reverses the order of the elements in an array
https://www.w3schools.com/jsref/jsref_shift.asp,"Removes the first element of an array, and returns that element"
https://www.w3schools.com/jsref/jsref_slice_array.asp,"Selects a part of an array, and returns the new array"
https://www.w3schools.com/jsref/jsref_some.asp,Checks if any of the elements in an array pass a test
https://www.w3schools.com/jsref/jsref_sort.asp,Sorts the elements of an array
